QID SF SYS ITER TIME
35 1000 cmr_time 2 4.067
35 1000 spark_time 2 4.462
35 1000 cmr_time 3 4.2620000000000005
35 1000 spark_time 3 4.365
35 1000 cmr_time 4 4.2090000000000005
35 1000 spark_time 4 4.6370000000000005
35 1000 cmr_ans_display_time 0 0.00020899999999999998
35 1000 cmr_ans_display_time 1 0.000134
35 1000 cmr_ans_display_time 2 0.000223
35 1000 cmr_ans_display_time 3 0.000134
35 1000 cmr_ans_display_time 4 0.00017999999999999998
36 1000 cmr_time 0 9.698
36 1000 spark_time 0 8.669
36 1000 cmr_time 1 3.6670000000000003
36 1000 spark_time 1 5.666
36 1000 cmr_time 2 2.908
36 1000 spark_time 2 5.166
36 1000 cmr_time 3 2.923
36 1000 spark_time 3 4.889
36 1000 cmr_time 4 2.864
36 1000 spark_time 4 4.651
36 1000 cmr_ans_display_time 0 0.197848
36 1000 cmr_ans_display_time 1 0.183741
36 1000 cmr_ans_display_time 2 0.185047
36 1000 cmr_ans_display_time 3 0.194601
36 1000 cmr_ans_display_time 4 0.181858
37 1000 cmr_time 0 19.976
37 1000 spark_time 0 23.244
37 1000 cmr_time 1 9.926
37 1000 spark_time 1 15.176
37 1000 cmr_time 2 8.925
37 1000 spark_time 2 17.547
37 1000 cmr_time 3 9.171
37 1000 spark_time 3 16.225
37 1000 cmr_time 4 8.737
37 1000 spark_time 4 16.165
37 1000 cmr_ans_display_time 0 0.000508
37 1000 cmr_ans_display_time 1 0.000226
37 1000 cmr_ans_display_time 2 0.000437
37 1000 cmr_ans_display_time 3 0.000496
37 1000 cmr_ans_display_time 4 0.00024099999999999998
38 1000 cmr_time 0 9.427
38 1000 spark_time 0 6.838
38 1000 cmr_time 1 2.7520000000000002
38 1000 spark_time 1 3.382
38 1000 cmr_time 2 2.66
38 1000 spark_time 2 2.879
38 1000 cmr_time 3 2.445
38 1000 spark_time 3 2.843
38 1000 cmr_time 4 2.547
38 1000 spark_time 4 3.0660000000000003
38 1000 cmr_ans_display_time 0 0.00035
38 1000 cmr_ans_display_time 1 0.000214
38 1000 cmr_ans_display_time 2 0.000235
38 1000 cmr_ans_display_time 3 0.000265
38 1000 cmr_ans_display_time 4 0.000337
39 1000 cmr_time 0 11.425
39 1000 spark_time 0 12.634
39 1000 cmr_time 1 5.264
